11:51:35.592570 [queue=0] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delivered
11:51:35.608613 [queue=1] packet #2, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delayed for 300µs
11:51:35.610617 [queue=0] packet #2, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delivered
11:51:36.565044 [queue=1] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delayed for 4.7ms
11:51:36.570354 [queue=0] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delivered
11:51:36.572341 [queue=1] packet #4, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delayed for 3.2ms
11:51:36.576335 [queue=0] packet #4, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delivered
11:52:11.097242 config: drop-rate=0.20, max-delay=10ms, seed=1
11:52:11.098747 router is listening at :3000
11:59:31.912094 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 8.7ms
11:59:47.659893 [queue=2] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 5.9ms
11:59:47.660897 [queue=3] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 1.8ms
11:59:47.660897 [queue=3] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:59:47.660897 [queue=3] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:59:47.660897 [queue=3] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:59:47.661399 [queue=4] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 9.4ms
11:59:47.661399 [queue=5] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 6.2ms
11:59:47.661399 [queue=6] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 2.8ms
11:59:47.661399 [queue=7] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 1.1ms
11:59:47.661399 [queue=8] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 3.7ms
11:59:47.663790 [queue=6] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:59:47.663790 [queue=6] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:59:47.664791 [queue=5] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:59:47.665794 [queue=4] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:59:47.670806 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:59:47.672811 [queue=1] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=6 is delayed for 9.5ms
11:59:47.673312 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:59:47.673312 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
